round_number,unit_id,unit_text,theme,code,scope,start_offset,end_offset,quote,adjudication_status,note,resolved_by,updated_at
1,2e60f023-d4ef-460f-a8b5-31164eb105f3::4,"Although just one message was offensive, that is all it takes. Once is enough. This is particularly a bad case because its a direct death threat whether acted upon or not. This is not something to be tolerated. This needs more than suspension.",Patterns of behavior,one message is enough (offensive),span,0,40,"Although just one message was offensive,",resolved,,subham,Wed Sep 09 2026 20:54:07 GMT+0000 (Coordinated Universal Time)
1,2e60f023-d4ef-460f-a8b5-31164eb105f3::4,"Although just one message was offensive, that is all it takes. Once is enough. This is particularly a bad case because its a direct death threat whether acted upon or not. This is not something to be tolerated. This needs more than suspension.",Type of offensiveness,Death wish,span,63,158,Once is enough. This is particularly a bad case because its a direct death threat whether acted,resolved,,subham,Wed Sep 09 2026 20:54:07 GMT+0000 (Coordinated Universal Time)
1,2e60f023-d4ef-460f-a8b5-31164eb105f3::4,"Although just one message was offensive, that is all it takes. Once is enough. This is particularly a bad case because its a direct death threat whether acted upon or not. This is not something to be tolerated. This needs more than suspension.",Decision outcomes,Consequences beyond suspencion,span,172,243,This is not something to be tolerated. This needs more than suspension.,resolved,,subham,Wed Sep 09 2026 20:54:07 GMT+0000 (Coordinated Universal Time)
1,2e81601f-453c-4d49-baa2-208a30e95b69::3,th message was insulting and bad language was used,Type of offensiveness,Hate speech and offensive language,span,0,24,th message was insulting,resolved,,subham,Mon Sep 07 2026 21:04:21 GMT+0000 (Coordinated Universal Time)
1,2e81601f-453c-4d49-baa2-208a30e95b69::3,th message was insulting and bad language was used,Type of offensiveness,Hate speech and offensive language,span,29,50,bad language was used,resolved,,subham,Mon Sep 07 2026 21:04:21 GMT+0000 (Coordinated Universal Time)
1,2e81601f-453c-4d49-baa2-208a30e95b69::4,there was no bad languages used just fact.,Type of offensiveness,No offensive content,unit,,,,resolved,,subham,Wed Sep 09 2026 20:51:43 GMT+0000 (Coordinated Universal Time)
1,2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Type of offensiveness,Extreme offensive,unit,,,,resolved,,subham,Mon Sep 07 2026 20:59:10 GMT+0000 (Coordinated Universal Time)
1,2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Patterns of behavior,Consistent offensive behavior,span,0,21,All of their messages,resolved,,subham,Mon Sep 07 2026 20:59:10 GMT+0000 (Coordinated Universal Time)
1,2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Type of offensiveness,Hate speech and offensive language,span,0,45,All of their messages are extremely offensive,resolved,,subham,Mon Sep 07 2026 20:59:10 GMT+0000 (Coordinated Universal Time)
1,2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Type of offensiveness,Death wish,span,70,83,death threats,resolved,,subham,Mon Sep 07 2026 20:59:10 GMT+0000 (Coordinated Universal Time)
1,2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Type of offensiveness,Hate speech and offensive language,span,93,109,derogatory terms,resolved,,subham,Mon Sep 07 2026 20:59:10 GMT+0000 (Coordinated Universal Time)
1,2f6b50bd-84fd-4ff2-9e59-8842fe054b79::2,3/4 posts were targeted attacks regarding someones character,Patterns of behavior,Majority offesnive,span,0,60,3/4 posts were targeted attacks regarding someones character,resolved,,subham,Wed Sep 09 2026 21:40:28 GMT+0000 (Coordinated Universal Time)
1,304298ef-5fc6-4f7c-b744-61b877e0cee7::1,It is extremely hateful,Type of offensiveness,Hate speech and offensive language,span,1,23,t is extremely hateful,resolved,,subham,Mon Sep 07 2026 20:49:11 GMT+0000 (Coordinated Universal Time)
1,30e22309-754e-4431-897d-e433d6a81eb9::2,Uses vulgar and offensive language to denigrate and insult individuals.  States clearly threatening action.,Type of offensiveness,Hate speech and offensive language,span,0,70,Uses vulgar and offensive language to denigrate and insult individuals,resolved,,subham,Mon Sep 07 2026 21:05:51 GMT+0000 (Coordinated Universal Time)
1,30e22309-754e-4431-897d-e433d6a81eb9::2,Uses vulgar and offensive language to denigrate and insult individuals.  States clearly threatening action.,Type of offensiveness,Threats of violence,span,73,107,States clearly threatening action.,resolved,,subham,Mon Sep 07 2026 21:05:51 GMT+0000 (Coordinated Universal Time)
1,3246c910-edc5-4a19-a587-0cbcced72c21::1,"Just clear slurs and pure hatred, zero reason to not suspend this account, this is literally indefensible.",Type of offensiveness,Hate speech and offensive language,span,0,32,Just clear slurs and pure hatred,resolved,,subham,Mon Sep 07 2026 20:50:17 GMT+0000 (Coordinated Universal Time)
1,3246c910-edc5-4a19-a587-0cbcced72c21::1,"Just clear slurs and pure hatred, zero reason to not suspend this account, this is literally indefensible.",Patterns of behavior,Consistent offensive behavior,span,34,106,"zero reason to not suspend this account, this is literally indefensible.",resolved,,subham,Mon Sep 07 2026 20:50:17 GMT+0000 (Coordinated Universal Time)
1,32be39db-f881-4abe-8804-3ca4460756e8::1,"A horrible hateful person, full of slurs and rude words",Justifications,Poster is a bad person,span,0,25,A horrible hateful person,resolved,,subham,Mon Sep 07 2026 20:58:38 GMT+0000 (Coordinated Universal Time)
1,32be39db-f881-4abe-8804-3ca4460756e8::1,"A horrible hateful person, full of slurs and rude words",Type of offensiveness,Hate speech and offensive language,span,27,55,full of slurs and rude words,resolved,,subham,Mon Sep 07 2026 20:58:38 GMT+0000 (Coordinated Universal Time)
1,32be39db-f881-4abe-8804-3ca4460756e8::2,"Everything about their posts is bad and wrong. Slurs, rude language, insults, nothing good !",Patterns of behavior,Consistent offensive behavior,span,0,45,Everything about their posts is bad and wrong,resolved,,subham,Mon Sep 07 2026 21:04:14 GMT+0000 (Coordinated Universal Time)
1,32be39db-f881-4abe-8804-3ca4460756e8::2,"Everything about their posts is bad and wrong. Slurs, rude language, insults, nothing good !",Type of offensiveness,Hate speech and offensive language,span,47,92,"Slurs, rude language, insults, nothing good !",resolved,,subham,Mon Sep 07 2026 21:04:14 GMT+0000 (Coordinated Universal Time)
1,33a7ec32-7245-4843-9294-2caeb54be5c0::1,Derogatory terms and the wishes of death of humans/animals.,Type of offensiveness,Hate speech and offensive language,span,0,16,Derogatory terms,resolved,,subham,Mon Sep 07 2026 20:59:51 GMT+0000 (Coordinated Universal Time)
1,33a7ec32-7245-4843-9294-2caeb54be5c0::1,Derogatory terms and the wishes of death of humans/animals.,Type of offensiveness,Death wish,span,25,59,wishes of death of humans/animals.,resolved,,subham,Mon Sep 07 2026 20:59:51 GMT+0000 (Coordinated Universal Time)
1,33a7ec32-7245-4843-9294-2caeb54be5c0::3,Derogatory remarks.,Type of offensiveness,Hate speech and offensive language,unit,,,,resolved,,subham,Mon Sep 07 2026 20:12:13 GMT+0000 (Coordinated Universal Time)
1,33a7ec32-7245-4843-9294-2caeb54be5c0::5,"No offensive remarks seen in any of the 4 messages, only positive or inquisitive ones.",Type of offensiveness,No offensive content,span,0,86,"No offensive remarks seen in any of the 4 messages, only positive or inquisitive ones.",resolved,,subham,Mon Sep 07 2026 21:02:55 GMT+0000 (Coordinated Universal Time)
1,358a8cdb-b127-494c-9efc-e37528c23e53::3,Considering if the message had a significant impact on others or if it was seen as less harmful in the given context.,Justifications,Contextual understanding,span,0,64,Considering if the message had a significant impact on others or,resolved,,subham,Wed Sep 09 2026 20:54:57 GMT+0000 (Coordinated Universal Time)
1,358a8cdb-b127-494c-9efc-e37528c23e53::3,Considering if the message had a significant impact on others or if it was seen as less harmful in the given context.,Justifications,Contextual understanding,span,71,117,was seen as less harmful in the given context.,resolved,,subham,Wed Sep 09 2026 20:54:57 GMT+0000 (Coordinated Universal Time)
1,377c6ebb-208f-487a-b6f1-96ad2fcafeac::2,"Not all of the messages were offensive, but the offensive messages are clearly a pattern for them.",Patterns of behavior,Mix of offensive and non-offensive,span,0,38,Not all of the messages were offensive,resolved,,subham,Wed Sep 09 2026 21:40:43 GMT+0000 (Coordinated Universal Time)
1,377c6ebb-208f-487a-b6f1-96ad2fcafeac::2,"Not all of the messages were offensive, but the offensive messages are clearly a pattern for them.",Patterns of behavior,Consistent offensive behavior,span,40,98,but the offensive messages are clearly a pattern for them.,resolved,,subham,Wed Sep 09 2026 21:40:43 GMT+0000 (Coordinated Universal Time)
1,377c6ebb-208f-487a-b6f1-96ad2fcafeac::5,"A couple of the posts showed opinions that some people might find controversial (though I wasn't sure the context), but they didn't state them in an offensive way.",Type of offensiveness,No offensive content,unit,,,,resolved,,subham,Wed Sep 09 2026 21:41:59 GMT+0000 (Coordinated Universal Time)
1,3820a2cf-9127-4286-8f06-13a8111285e8::4,cause the user use a formal language and there is no threats in the message,Patterns of behavior,Normal behavior,span,21,36,formal language,resolved,,subham,Mon Sep 07 2026 21:04:00 GMT+0000 (Coordinated Universal Time)
1,3820a2cf-9127-4286-8f06-13a8111285e8::4,cause the user use a formal language and there is no threats in the message,Type of offensiveness,No offensive content,span,41,75,there is no threats in the message,resolved,,subham,Mon Sep 07 2026 21:04:00 GMT+0000 (Coordinated Universal Time)
1,3820a2cf-9127-4286-8f06-13a8111285e8::5,cause the user use a formal language and there is no threats in the message,Type of offensiveness,No offensive content,span,41,75,there is no threats in the message,resolved,,subham,Mon Sep 07 2026 20:19:54 GMT+0000 (Coordinated Universal Time)
1,3887d13a-2522-48e4-930f-24545d0aeb9e::2,death threats should be taken seriously no matter the platform one is on,Type of offensiveness,Threats of violence,span,0,72,death threats should be taken seriously no matter the platform one is on,resolved,,subham,Wed Sep 09 2026 21:39:42 GMT+0000 (Coordinated Universal Time)
1,39ab5a4c-c7ab-4268-8f50-8b8122d844ab::5,I did not find anything that a reasonable person would be offended by.,Type of offensiveness,No offensive content,span,0,70,I did not find anything that a reasonable person would be offended by.,resolved,,subham,Mon Sep 07 2026 20:49:19 GMT+0000 (Coordinated Universal Time)
1,3a71a704-c4b8-415f-bd4d-ce52c8458a98::1,Ya this just didn't seem like it was going to get any better,,positive content,span,0,60,Ya this just didn't seem like it was going to get any better,resolved,,subham,Mon Sep 07 2026 21:00:01 GMT+0000 (Coordinated Universal Time)
1,3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Positive content,Calm and thoughtful,span,0,55,This account has posts that seem genuine and supportive,resolved,,subham,Mon Sep 07 2026 20:49:41 GMT+0000 (Coordinated Universal Time)
1,3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Justifications,Contextual understanding,span,57,122,"probably indicative of someone who is level, civil, and not angry",resolved,,subham,Mon Sep 07 2026 20:49:41 GMT+0000 (Coordinated Universal Time)
1,3c0629eb-8736-469a-8958-3acea68b50f2::4,"Though one message did include a threat of violence and use of a slur, this behavior was not repeated in other messages. This leads me to a strong suspicion that this is not the user's typical conduct and they can be expected to not continue.",Type of offensiveness,Threats of violence,span,0,69,Though one message did include a threat of violence and use of a slur,resolved,,subham,Wed Sep 09 2026 20:52:46 GMT+0000 (Coordinated Universal Time)
1,3c0629eb-8736-469a-8958-3acea68b50f2::4,"Though one message did include a threat of violence and use of a slur, this behavior was not repeated in other messages. This leads me to a strong suspicion that this is not the user's typical conduct and they can be expected to not continue.",Patterns of behavior,One-off offensive,span,71,119,this behavior was not repeated in other messages,resolved,,subham,Wed Sep 09 2026 20:52:46 GMT+0000 (Coordinated Universal Time)
1,3c0629eb-8736-469a-8958-3acea68b50f2::4,"Though one message did include a threat of violence and use of a slur, this behavior was not repeated in other messages. This leads me to a strong suspicion that this is not the user's typical conduct and they can be expected to not continue.",Justifications,Contextual understanding,span,121,242,This leads me to a strong suspicion that this is not the user's typical conduct and they can be expected to not continue.,resolved,,subham,Wed Sep 09 2026 20:52:46 GMT+0000 (Coordinated Universal Time)
1,3e408ba5-696a-45e0-b576-fd67c97fb7f0::4,Lots of normal messages but there ending up being a recurring theme of direct death threats that were not okay.,Patterns of behavior,Consistent offensive behavior,span,50,70,a recurring theme of,resolved,,subham,Wed Sep 09 2026 20:51:58 GMT+0000 (Coordinated Universal Time)
1,3e408ba5-696a-45e0-b576-fd67c97fb7f0::4,Lots of normal messages but there ending up being a recurring theme of direct death threats that were not okay.,Type of offensiveness,Threats of violence,span,71,91,direct death threats,resolved,,subham,Wed Sep 09 2026 20:51:58 GMT+0000 (Coordinated Universal Time)
1,4087dea3-9032-4482-962a-3976a83c5ad7::4,Message 3 uses violent language and threats against another person.,Type of offensiveness,Hate speech and offensive language,span,0,31,Message 3 uses violent language,resolved,,subham,Mon Sep 07 2026 20:59:45 GMT+0000 (Coordinated Universal Time)
1,4087dea3-9032-4482-962a-3976a83c5ad7::4,Message 3 uses violent language and threats against another person.,Type of offensiveness,Threats of violence,span,32,67,and threats against another person.,resolved,,subham,Mon Sep 07 2026 20:59:45 GMT+0000 (Coordinated Universal Time)
1,40c9d042-ad2a-4d13-87fa-dfc9c075304d::1,All of the messages I reviewed were offensive with death threats in two of the messages. I recommended suspension with high confidence based on those words alone.,Patterns of behavior,Consistent offensive behavior,span,0,88,All of the messages I reviewed were offensive with death threats in two of the messages.,resolved,,subham,Wed Sep 09 2026 21:41:50 GMT+0000 (Coordinated Universal Time)
1,4403b5d3-138f-46fd-8120-8fafc7639941::5,uplifting,Positive content,Calm and thoughtful,span,0,9,uplifting,resolved,,subham,Mon Sep 07 2026 20:48:33 GMT+0000 (Coordinated Universal Time)
1,44c5e862-bfc8-45a3-921f-1ca8b6805aab::4,Contained several harmful messages,Type of offensiveness,Hate speech and offensive language,span,0,34,Contained several harmful messages,resolved,,subham,Mon Sep 07 2026 20:46:05 GMT+0000 (Coordinated Universal Time)
1,45cf4ff1-2f10-412c-9cc6-c6af7b830e2e::4,One message they are threatening to murder someone.,Type of offensiveness,Threats of violence,span,0,51,One message they are threatening to murder someone.,resolved,,subham,Mon Sep 07 2026 21:05:59 GMT+0000 (Coordinated Universal Time)
1,46f6bb91-10f9-48c8-aa76-72cd972429f8::1,The same type of offensive language as other accounts I would suspend,Type of offensiveness,Hate speech and offensive language,span,0,69,The same type of offensive language as other accounts I would suspend,resolved,,subham,Mon Sep 07 2026 20:59:59 GMT+0000 (Coordinated Universal Time)
1,46f6bb91-10f9-48c8-aa76-72cd972429f8::2,"A lot of extreme language and threats, and thus definitely suspending",Type of offensiveness,Threats of violence,span,0,37,A lot of extreme language and threats,resolved,,subham,Wed Sep 09 2026 20:53:46 GMT+0000 (Coordinated Universal Time)
1,46f6bb91-10f9-48c8-aa76-72cd972429f8::2,"A lot of extreme language and threats, and thus definitely suspending",Reflection on the decision,Obvious an clear suspension,span,43,69,thus definitely suspending,resolved,,subham,Wed Sep 09 2026 20:53:46 GMT+0000 (Coordinated Universal Time)
1,4984471b-9109-4812-8748-9c8e6fc829c0::2,This is so offensive like saying going to shoot.,Type of offensiveness,Hate speech and offensive language,span,0,48,This is so offensive like saying going to shoot.,resolved,,subham,Mon Sep 07 2026 20:58:45 GMT+0000 (Coordinated Universal Time)
1,4984471b-9109-4812-8748-9c8e6fc829c0::2,This is so offensive like saying going to shoot.,Type of offensiveness,Threats of violence,span,26,48,saying going to shoot.,resolved,,subham,Mon Sep 07 2026 20:58:45 GMT+0000 (Coordinated Universal Time)
1,4984471b-9109-4812-8748-9c8e6fc829c0::3,The first message isn't that offensive to suspend and the second message is not offensive at all.,Justifications,Not too offensive,span,0,49,The first message isn't that offensive to suspend,resolved,,subham,Wed Sep 09 2026 20:53:09 GMT+0000 (Coordinated Universal Time)
1,4984471b-9109-4812-8748-9c8e6fc829c0::3,The first message isn't that offensive to suspend and the second message is not offensive at all.,Type of offensiveness,No offensive content,span,58,97,second message is not offensive at all.,resolved,,subham,Wed Sep 09 2026 20:53:09 GMT+0000 (Coordinated Universal Time)
1,49a577b8-81a4-49b2-8a96-3d78c985ea4d::4,"The message about killing someone is hostile. The use of the language ""retard"" is inappropriate and vulgar.",Type of offensiveness,Threats of violence,span,0,44,The message about killing someone is hostile,resolved,,subham,Wed Sep 09 2026 21:40:16 GMT+0000 (Coordinated Universal Time)
1,49a577b8-81a4-49b2-8a96-3d78c985ea4d::4,"The message about killing someone is hostile. The use of the language ""retard"" is inappropriate and vulgar.",Type of offensiveness,Hate speech and offensive language,span,46,107,"The use of the language ""retard"" is inappropriate and vulgar.",resolved,,subham,Wed Sep 09 2026 21:40:16 GMT+0000 (Coordinated Universal Time)
1,4ae68415-1a4c-47f9-abe3-2d18dcce302a::1,The messages I read were very offensive by wishing cancer on someone which is awful and saying their dog should die.,Type of offensiveness,Hate speech and offensive language,span,0,39,The messages I read were very offensive,resolved,,subham,Wed Sep 09 2026 21:42:31 GMT+0000 (Coordinated Universal Time)
1,4ae68415-1a4c-47f9-abe3-2d18dcce302a::1,The messages I read were very offensive by wishing cancer on someone which is awful and saying their dog should die.,Type of offensiveness,Death wish,span,43,83,wishing cancer on someone which is awful,resolved,,subham,Wed Sep 09 2026 21:42:31 GMT+0000 (Coordinated Universal Time)
1,4ae68415-1a4c-47f9-abe3-2d18dcce302a::1,The messages I read were very offensive by wishing cancer on someone which is awful and saying their dog should die.,Type of offensiveness,Death wish,span,88,116,saying their dog should die.,resolved,,subham,Wed Sep 09 2026 21:42:31 GMT+0000 (Coordinated Universal Time)
1,4b65d56f-9409-4e89-8d59-32f2f92bf399::3,I don't think that negative comments specifically aimed at sexually are grounds for suspension.,Type of offensiveness,Hate speech and offensive language,span,2,67,don't think that negative comments specifically aimed at sexually,resolved,,subham,Mon Sep 07 2026 20:49:22 GMT+0000 (Coordinated Universal Time)
1,4b65d56f-9409-4e89-8d59-32f2f92bf399::3,I don't think that negative comments specifically aimed at sexually are grounds for suspension.,Justifications,Not too offensive,span,72,95,grounds for suspension.,resolved,,subham,Mon Sep 07 2026 20:49:22 GMT+0000 (Coordinated Universal Time)
1,4e3a6cce-8e2f-4408-96e1-71048af70adb::5,The messages in this account was sharing thoughts on issues and was not being offensive,Positive content,Personal opinions and thoughts,span,0,59,The messages in this account was sharing thoughts on issues,resolved,,subham,Mon Sep 07 2026 20:50:46 GMT+0000 (Coordinated Universal Time)
1,4e3a6cce-8e2f-4408-96e1-71048af70adb::5,The messages in this account was sharing thoughts on issues and was not being offensive,Type of offensiveness,No offensive content,span,64,87,was not being offensive,resolved,,subham,Mon Sep 07 2026 20:50:46 GMT+0000 (Coordinated Universal Time)
1,4e526fc5-8352-4bd3-93c1-c9e4a8d8e59c::1,they want everyone to die. very mean and cold hearted.,Type of offensiveness,Hate speech and offensive language,span,0,54,they want everyone to die. very mean and cold hearted.,resolved,,subham,Mon Sep 07 2026 20:59:25 GMT+0000 (Coordinated Universal Time)
1,4e526fc5-8352-4bd3-93c1-c9e4a8d8e59c::3,"name calling, deorgatory comments",Type of offensiveness,Hate speech and offensive language,span,0,33,"name calling, deorgatory comments",resolved,,subham,Wed Sep 09 2026 21:41:16 GMT+0000 (Coordinated Universal Time)
1,4e926ade-dd83-4dd9-8c60-ef3b6f8f5c0e::4,Although the offensive message was quite graphic it was unique among the other messages. While unfortunate it just wasn't enough to fully suspend the account.,Patterns of behavior,One-off offensive,span,0,88,Although the offensive message was quite graphic it was unique among the other messages.,resolved,,subham,Mon Sep 07 2026 21:01:41 GMT+0000 (Coordinated Universal Time)
1,4e926ade-dd83-4dd9-8c60-ef3b6f8f5c0e::4,Although the offensive message was quite graphic it was unique among the other messages. While unfortunate it just wasn't enough to fully suspend the account.,Justifications,Not too offensive,span,89,157,While unfortunate it just wasn't enough to fully suspend the account,resolved,,subham,Mon Sep 07 2026 21:01:41 GMT+0000 (Coordinated Universal Time)
1,4e926ade-dd83-4dd9-8c60-ef3b6f8f5c0e::5,"This account has a lot of everyday life observations and sharing, any interaction is stated in a respectable but direct way. Personal opinions are shared very openly but not in an aggressive or ""I'm right, you're wrong"" kind of way.",Patterns of behavior,Normal behavior,span,0,124,"This account has a lot of everyday life observations and sharing, any interaction is stated in a respectable but direct way.",resolved,,subham,Mon Sep 07 2026 20:48:57 GMT+0000 (Coordinated Universal Time)
1,4e926ade-dd83-4dd9-8c60-ef3b6f8f5c0e::5,"This account has a lot of everyday life observations and sharing, any interaction is stated in a respectable but direct way. Personal opinions are shared very openly but not in an aggressive or ""I'm right, you're wrong"" kind of way.",Positive content,Personal opinions and thoughts,span,125,142,Personal opinions,resolved,,subham,Mon Sep 07 2026 20:48:57 GMT+0000 (Coordinated Universal Time)
1,4ed5e9b1-5022-4acc-8c91-77a3a602831a::2,"Out of 4 messages, 3 were offensive. I believe the behavior would continue.",Patterns of behavior,Majority offesnive,span,1,36,"ut of 4 messages, 3 were offensive.",resolved,,subham,Wed Sep 09 2026 21:40:51 GMT+0000 (Coordinated Universal Time)
1,4ed5e9b1-5022-4acc-8c91-77a3a602831a::4,"I reviewed 8 messages, and only 2 were offensive. In those 2 messages they kept saying that they were going to kill whoever they were talking to. I should have reviewed more to see if that type of communication continued. If so, a definite suspend.",Type of offensiveness,Death wish,span,80,144,saying that they were going to kill whoever they were talking to,resolved,,subham,Mon Sep 07 2026 20:48:05 GMT+0000 (Coordinated Universal Time)
1,4ed5e9b1-5022-4acc-8c91-77a3a602831a::4,"I reviewed 8 messages, and only 2 were offensive. In those 2 messages they kept saying that they were going to kill whoever they were talking to. I should have reviewed more to see if that type of communication continued. If so, a definite suspend.",Decision outcomes,Ban if behavior continues,span,146,248,"I should have reviewed more to see if that type of communication continued. If so, a definite suspend.",resolved,,subham,Mon Sep 07 2026 20:48:05 GMT+0000 (Coordinated Universal Time)
1,4ed5e9b1-5022-4acc-8c91-77a3a602831a::5,None of their conversations were offensive. No reason to suspend account.,Type of offensiveness,No offensive content,unit,,,,resolved,,subham,Mon Sep 07 2026 21:00:40 GMT+0000 (Coordinated Universal Time)
1,4f09b2ed-7a8b-4d32-b64a-b6b75e5db72f::3,About half of the messages from this account were offensive.,Patterns of behavior,Mix of offensive and non-offensive,span,0,60,About half of the messages from this account were offensive.,resolved,,subham,Wed Sep 09 2026 21:38:51 GMT+0000 (Coordinated Universal Time)
1,4f48f1a1-52d1-46dc-87c7-f1ed1f64c83f::4,Threatening to kill someone should be an automatic suspension.,Type of offensiveness,Threats of violence,span,0,19,Threatening to kill,resolved,,subham,Wed Sep 09 2026 21:41:02 GMT+0000 (Coordinated Universal Time)
1,4f735381-9724-44b2-9342-ac59dc98703b::2,I tried to always read at least two messages. I don't know why I continued to read as the first two alone were offensive enough to justify suspending in my opinion. I'm surprised my confidence wasn't a 5 on this one.,Reflection on the decision,Would revise the decision,unit,,,,resolved,,subham,Wed Sep 09 2026 21:03:35 GMT+0000 (Coordinated Universal Time)
1,4f735381-9724-44b2-9342-ac59dc98703b::2,I tried to always read at least two messages. I don't know why I continued to read as the first two alone were offensive enough to justify suspending in my opinion. I'm surprised my confidence wasn't a 5 on this one.,Patterns of behavior,Consistent offensive behavior,span,0,164,I tried to always read at least two messages. I don't know why I continued to read as the first two alone were offensive enough to justify suspending in my opinion.,resolved,,subham,Wed Sep 09 2026 21:03:35 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::2,The account was violent and threatened to kill another person. Other messages wished death upon a person and many contained excessive cursing and slurs. The non-offensive messages do not outweigh the severity of the offensive ones.,Patterns of behavior,Majority offesnive,unit,,,,resolved,,subham,Wed Sep 09 2026 21:03:11 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::2,The account was violent and threatened to kill another person. Other messages wished death upon a person and many contained excessive cursing and slurs. The non-offensive messages do not outweigh the severity of the offensive ones.,Type of offensiveness,Hate speech and offensive language,unit,,,,resolved,,subham,Wed Sep 09 2026 21:03:11 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::2,The account was violent and threatened to kill another person. Other messages wished death upon a person and many contained excessive cursing and slurs. The non-offensive messages do not outweigh the severity of the offensive ones.,Type of offensiveness,Threats of violence,span,0,62,The account was violent and threatened to kill another person.,resolved,,subham,Wed Sep 09 2026 21:03:11 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::2,The account was violent and threatened to kill another person. Other messages wished death upon a person and many contained excessive cursing and slurs. The non-offensive messages do not outweigh the severity of the offensive ones.,Type of offensiveness,Death wish,span,63,104,Other messages wished death upon a person,resolved,,subham,Wed Sep 09 2026 21:03:11 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::3,"Account 5 had mixed offensive and non-offensive messages, however, the severity of the offensive ones greatly outweigh the non-offensive ones. This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",Type of offensiveness,racial remark,unit,,,,resolved,,subham,Mon Sep 07 2026 20:59:33 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::3,"Account 5 had mixed offensive and non-offensive messages, however, the severity of the offensive ones greatly outweigh the non-offensive ones. This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",Patterns of behavior,Mix of offensive and non-offensive,span,0,56,Account 5 had mixed offensive and non-offensive messages,resolved,,subham,Mon Sep 07 2026 20:59:33 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::3,"Account 5 had mixed offensive and non-offensive messages, however, the severity of the offensive ones greatly outweigh the non-offensive ones. This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",Type of offensiveness,Extreme offensive,span,58,141,"however, the severity of the offensive ones greatly outweigh the non-offensive ones",resolved,,subham,Mon Sep 07 2026 20:59:33 GMT+0000 (Coordinated Universal Time)
1,50b6bc56-df8e-42b4-abb9-bec6b425670e::3,"Account 5 had mixed offensive and non-offensive messages, however, the severity of the offensive ones greatly outweigh the non-offensive ones. This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",Type of offensiveness,Hate speech and offensive language,span,143,246,"This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",resolved,,subham,Mon Sep 07 2026 20:59:33 GMT+0000 (Coordinated Universal Time)
1,519ce43e-4124-4b8f-84a0-0cc2badb7599::3,"This account used homophobic slurs, derogatory language, and racist stereotypes in several different messages. That is why I decided to suspend Account 1.",Type of offensiveness,Hate speech and offensive language,span,0,35,"This account used homophobic slurs,",resolved,,subham,Wed Sep 09 2026 21:38:58 GMT+0000 (Coordinated Universal Time)
1,519ce43e-4124-4b8f-84a0-0cc2badb7599::3,"This account used homophobic slurs, derogatory language, and racist stereotypes in several different messages. That is why I decided to suspend Account 1.",Type of offensiveness,Hate speech and offensive language,span,36,110,"derogatory language, and racist stereotypes in several different messages.",resolved,,subham,Wed Sep 09 2026 21:38:58 GMT+0000 (Coordinated Universal Time)
1,524a640d-323a-46ab-8efd-9af2c6c29d5b::2,Someone threatens to kill another person.,Type of offensiveness,Threats of violence,span,8,41,threatens to kill another person.,resolved,,subham,Wed Sep 09 2026 20:52:39 GMT+0000 (Coordinated Universal Time)
1,524a640d-323a-46ab-8efd-9af2c6c29d5b::4,"Message three threatened to murder someone. And ""retard"" is a derogatory word.",Type of offensiveness,Threats of violence,span,0,42,Message three threatened to murder someone,resolved,,subham,Mon Sep 07 2026 21:00:23 GMT+0000 (Coordinated Universal Time)
1,524a640d-323a-46ab-8efd-9af2c6c29d5b::4,"Message three threatened to murder someone. And ""retard"" is a derogatory word.",Type of offensiveness,Hate speech and offensive language,span,44,78,"And ""retard"" is a derogatory word.",resolved,,subham,Mon Sep 07 2026 21:00:23 GMT+0000 (Coordinated Universal Time)
